## Primary Use, Band, Bandwidth, Spectral Radiance, Required SNR
## Table acquired from https://modis.gsfc.nasa.gov/about/specifications.php

# Land/Cloud/Aerosols Boundaries
1,  620-670,   21.8, 128
2,  841-876,   24.7, 201

# Land/Cloud/Aerosols Properties
3,  459-479,   35.3, 243
4,  545-565,   29.0, 228
5,  1230-1250, 5.4,  74
6,  1628-1652, 7.3,  275
7,  2105-2155, 1.0,  110

# Ocean Color/ Phytoplankton/ Biogeochemistry
8,  405-420,   44.9, 880
9,  438-448,   41.9, 838
10, 483-493,   32.1, 802
11, 526-536,   27.9, 754
12, 546-556,   21.0, 750
13, 662-672,   9.5,  910
14, 673-683,   8.7,  1087
15, 743-753,   10.2, 586
16, 862-877,   6.2,  516

# Atmospheric Water Vapor
17, 890-920,   10.0, 167
18, 931-941,   3.6,  57
19, 915-965,   15.0, 250

# Cirrus Clouds Water Vapor
26, 1360-1390, 6.00, 150


## Primary Use, Band, Bandwidth, Spectral Radiance, Required Temp Diff

# Surface/Cloud Temperature
20, 3660-3840,   0.45(300K), 0.05
21, 3929-3989,   2.38(335K), 0.20
22, 3929-3989,   0.67(300K), 0.07
23, 4020-4080,   0.79(300K), 0.07

# Atmospheric Temperature
24, 4433-4498,   0.17(250K), 0.25
25, 4482-4549,   0.59(275K), 0.25

# Water Vapor
27, 6535-6895,   1.16(240K), 0.25
28, 7175-7475,   2.18(250K), 0.25

# Cloud Properties
29, 8400-8700,   9.58(300K), 0.05

# Ozone
30, 9580-9880,   3.69(250K), 0.25

# Surface/Cloud Temperature
31, 10780-11280, 9.55(300K), 0.05
32, 11770-12270, 8.94(300K), 0.05

# Cloud Top Altitude
33, 13185-13485, 4.52(260K), 0.25
34, 13485-13785, 3.76(250K), 0.25
35, 13785-14085, 3.11(240K), 0.25
36, 14085-14385, 2.08(220K), 0.35
